seq,x,y
1,447.2323142206792,-234.04884873490323
2,807.0856719348043,-617.2239644284708
3,916.8405902132015,-531.1084655515311
4,1121.3313294581258,-744.7247934264204
5,1457.160289573817,-548.7337701235587
6,1453.360232900879,-188.3708750646554
7,1261.340452273003,-521.3315317695552
8,1165.5815492529914,-489.78026884307695
9,957.4596806636307,158.09592219614876
10,580.1534907226047,-128.69688522459367
11,471.9550164121597,-52.449851889674584
12,378.02083068727296,-58.83809482825826
13,399.7078440322181,-168.83495561189775
14,448.0524429532111,-235.09856668538976
